store_name,sales_exposure,claims,units_sold,claim_rate_pct,difference_from_portfolio_pct_points,relative_risk_index,group_type
Apple Gangnam,13966,406,76987,2.9070600028640983,0.02299924531747255,2.7180009515690147,store_name
Apple Omotesando,13915,404,76416,2.9033417175709664,0.019280960024340654,2.2744178731686473,store_name
Apple Via del Corso,14032,407,76762,2.9005131128848345,0.01645235533820877,1.9488924306700979,store_name
Apple Walnut Street,13648,394,75364,2.886869871043376,0.0028091134967502818,0.32817371492290554,store_name
Apple Chadstone,27851,803,153181,2.883199885102869,-0.0008608724437566551,-0.14366772115005177,store_name
Apple Galeries Lafayette,13816,398,76067,2.880718008106543,-0.0033427494400828373,-0.39291172327344687,store_name
Apple Schildergasse,14050,404,77385,2.8754448398576513,-0.008615917688974406,-1.021267951423968,store_name
Apple Kurfuerstendamm,14038,403,77532,2.8707793132924917,-0.013281444254134023,-1.573612956732198,store_name
Apple North Michigan Avenue,14022,401,77152,2.859791755812295,-0.024269001734330775,-2.873802340163165,store_name
Apple Metrotown,13789,394,75773,2.8573500616433387,-0.026710695903287007,-3.1365454770767527,store_name
Apple Sanlitun,13974,399,76870,2.8553027050236155,-0.028758052523010225,-3.399537545552216,store_name
Apple Marunouchi,13897,395,76707,2.842340073397136,-0.041720684149489706,-4.918265284383599,store_name
Apple Grand Central,13909,395,76518,2.839887842404199,-0.04417291514242683,-5.20959562971947,store_name
Apple Rosenstrasse,13889,394,75650,2.8367773057815535,-0.047283451765072204,-5.572430519753272,store_name
Apple Union Square,13897,392,76675,2.820752680434626,-0.0633080771119996,-7.4631067114184875,store_name
Apple Taikoo Li,13797,389,75950,2.8194535043850113,-0.06460725316161442,-7.588808768940225,store_name
Apple Antara,13709,386,75117,2.8156685389160407,-0.06839221863058498,-8.007732935004206,store_name
Apple Central World,27576,782,151302,2.8357992457209167,-0.048261511825709036,-8.01431775571916,store_name
Apple Jewel Changi Airport,14004,392,76712,2.799200228506141,-0.08486052904048469,-10.042267507091681,store_name
Apple The Americana at Brand,13854,386,76611,2.7861989317164717,-0.09786182583015401,-11.518632061662407,store_name
Apple Opera,13912,386,76805,2.77458309373203,-0.10947766381459578,-12.912796469366526,store_name
Apple Santa Fe,13915,386,76642,2.77398490837226,-0.11007584917436564,-12.984751716218287,store_name
Apple Sainte-Catherine,13947,386,76392,2.7676202767620275,-0.11644048078459823,-13.751320063176262,store_name
Apple Sydney,13641,375,75065,2.7490653177919504,-0.13499543975467532,-15.76675076167972,store_name
Apple Shanghai IFC,13874,381,76177,2.7461438662245925,-0.13791689132203322,-16.24494721703231,store_name
Apple Pioneer Place,13883,381,76636,2.744363610170712,-0.13969714737591366,-16.459976078667523,store_name
Apple Causeway Bay,13551,368,74965,2.7156667404619586,-0.16839401708466717,-19.602539150790808,store_name
Apple Iconsiam,13957,377,76556,2.7011535430250055,-0.18290721452162018,-21.608612186451893,store_name
Apple Cotai Central,13892,375,75887,2.6993953354448603,-0.1846654221017654,-21.765466025871397,store_name
Apple Yeouido,13946,376,76862,2.6961135809551124,-0.18794717659151328,-22.19528042215078,store_name
Apple Covent Garden,27803,762,152745,2.7407114340179115,-0.1433493235287142,-23.902398225834155,store_name
Apple South Coast Plaza,13718,367,75815,2.6753171016183117,-0.208743655928314,-24.4488639970733,store_name
Apple Mall of the Emirates,13764,365,75767,2.6518453937808775,-0.23221536376574825,-27.24352389512363,store_name
Apple Piazza Liberty,13633,347,74864,2.5452945059781413,-0.3387662515684844,-39.55449608400563,store_name
Apple Parque La Colina,13845,352,76024,2.5424340917298665,-0.34162666581675927,-40.19742581864557,store_name
Apple Fukuoka,14068,352,77787,2.502132499289167,-0.3819282582574588,-45.299976022080244,store_name
Apple Nanjing East,13941,348,77014,2.4962341295459436,-0.3878266280006821,-45.791470246100594,store_name
Apple Passeig de Gracia,13686,340,74977,2.4842905158556188,-0.39977024169100694,-46.767992737502816,store_name
